Outreach Tips	A	T	T	T	0.75	유지: 비영리 아웃리치 활동 안내 팁 콘텐츠로 명확하고, 판매 영업 SaaS Outreach와는 업계도 제품군도 달라 혼동 수준에 이르지 않음.
Package App	A	T	T	T	0.7	유지: 사진 스튜디오 촬영 패키지(상품 구성) 예약·판매 관리 도구로 업계 결합이 성립하나, 1차 사유(택배 추적)가 업계와 불일치하므로 제목과 업계만으로 독립 재판정해 신중히 유지.
Package Tips	A	T	T	T	0.75	유지: 촬영 패키지 선택·준비 요령 콘텐츠로 명확하고 Package App과는 콘텐츠 대 도구로 별개 상품.
Packing App	A	T	T	T	0.85	유지: 이사 짐싸기 계획·체크리스트 도구는 moving 업계 실재 제품형으로 명확.
Packing Tips	A	T	T	T	0.8	유지: 짐싸기 요령 콘텐츠로 명확하고 Packing App과는 콘텐츠 대 도구로 별개.
Panic App	A	T	T	T	0.8	유지: 보안업계 긴급 호출(패닉 버튼) 대응 앱은 실재 카테고리고, 개발사 브랜드 Panic과는 업계가 달라 충돌 없음.
Panic Tips	A	T	T	T	0.65	유지: 잠금·보안 긴급상황 대처 요령 콘텐츠로 읽히나 건강 맥락(패닉 발작)으로 오독될 여지가 있어 경계적으로 유지.
Pastry App	A	T	T	T	0.85	유지: 제과 레시피·주문 관리 앱은 food_service 실재 제품형으로 명확.
Pastry Tips	A	T	T	T	0.8	유지: 제과 노하우 콘텐츠로 명확하고 Pastry App과는 콘텐츠 대 도구로 별개.
Patch App	A	T	T	T	0.85	유지: 보안 패치 관리 앱은 cybersecurity 실재 카테고리로 명확.
Patch Tips	A	T	T	T	0.8	유지: 패치 관리 요령 콘텐츠로 명확하고 Patch App과는 콘텐츠 대 도구로 별개.
Patent App	A	T	T	T	0.85	유지: 특허 검색·출원 관리 앱은 legal 실재 제품형으로 명확.
Patent Followup	A	T	T	T	0.75	유지: 특허 docketing 후속 기한 관리는 실재 업무로 명확하고, Patent Tracker와는 후속조치 수행 대 절차 상태 추적이라는 별개 행동으로 경계적 유지.
Patent Handbook	A	T	T	T	0.7	유지: 특허 실무 핸드북 콘텐츠로 명확하고, Patent Tutorial과는 참조서 대 단계 학습이라는 별개 형식으로 경계적 유지.
Patent Monitor	A	T	T	T	0.8	유지: 특허 출원·등록 감시는 상표 Watch와 평행한 실재 서비스로 명확하고, Patent Tracker와는 타인 권리 감시 대 자산 절차 추적으로 구분.
Patent Opinion	A	T	T	T	0.75	유지: 특허 법률 의견서 관리는 실재 업무 산출물을 지시해 명확.
Patent Questionnaire	A	T	T	T	0.75	유지: 발명 공개 문진 양식 관리는 특허 출원 실무의 실재 단계라 명확.
Patent Timetable	A	T	T	T	0.7	유지: 특허 절차 일정표 관리로 명확하고, Patent Followup과는 절차 일정 안내 대 기한 후속관리로 행동이 달라 경계적 유지.
