Acne Calculator	A	T	T	T	0.75	유지: Calculator는 구체 도구이고 여드름 등급·치료비 산출기가 피부과에서 실재하는 서비스 형태라 명확하며 배치 내 중복 없음
Acne Checker	A	T	T	T	0.8	유지: 여드름 증상 셀프 체크 도구로 실재 서비스가 형성되고 Calculator와 기능이 달라 중복 아니며 상표 충돌 없음
Acne Diary	A	T	T	T	0.8	유지: 여드름 경과 기록 일지는 실재 앱 카테고리이고 Record는 이력 기록·Recorder는 기록 도구로 별개 제품이라 중복 아님
Acne Guide	A	T	T	T	0.8	유지: 여드름 관리 가이드 콘텐츠로 명확하고 Video와는 텍스트·영상으로 매체가 달라 중복 아니며 상표 충돌 없음
Acne Helper	A	T	T	T	0.75	유지: 여드름 관리 도우미 앱으로 실재하며 Guide(콘텐츠)·Diary(기록)와 역할이 달라 중복 아니고 상표 충돌 없음
Acne Record	A	T	T	T	0.7	유지: 여드름 발작 이력 기록물로 명확하고 Diary는 개인 일지로 별개 제품이며 상표 충돌 없음
Acne Recorder	A	T	T	T	0.7	유지: 여드름 경과를 찍어 기록하는 도구로 Record(기록물)와 별개 제품이고 기타 Acne 계열과도 중복 아님
Acne Video	A	T	T	T	0.75	유지: 여드름 관리 영상 가이드 서비스로 명확하고 Guide와는 다른 매체의 제품이라 중복 아니며 상표 충돌 없음
Activation App	A	T	T	T	0.85	유지: 통신 유심·서비스 개통 처리 앱으로 실재하고 명확하며 상표 충돌 없음
Activation Tips	A	T	T	T	0.85	유지: 개통 절차 안내 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Adjuster App	A	T	T	T	0.85	유지: 보험 손해사정사의 사정 업무 지원 앱으로 실재하고 명확하며 상표 충돌 없음
Adjuster Tips	A	T	T	T	0.85	유지: 손해사정 업무 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Amenity App	A	T	T	T	0.8	유지: 숙박 어메니티 예약·이용 앱으로 실재하고 명확하며 상표 충돌 없음
Amenity Tips	A	T	T	T	0.7	유지: 숙박 어메니티 활용 팁 콘텐츠로 App과 다른 제품이고 실재하는 콘텐츠 장르라 명확하며 상표 충돌 없음
Anemia Diary	A	T	T	T	0.85	유지: 빈혈 증상·수치 기록 일지로 실재 앱 카테고리이고 명확하며 중복·상표 충돌 없음
Anemia Video	A	T	T	T	0.8	유지: 빈혈 관리 교육 영상 서비스로 명확하고 배치 내 중복 없음·상표 충돌 없음
Anesthesia App	A	T	T	T	0.8	유지: 치과 마취 기록·투여 계산 앱으로 실재하고 명확하며 상표 충돌 없음
Anesthesia Tips	A	T	T	T	0.8	유지: 마취 실무 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Apostille App	A	T	T	T	0.8	유지: 아포스티유 인증 절차 진행 관리 앱으로 실재하고 명확하며 상표 충돌 없음
Apostille Tips	A	T	T	T	0.8	유지: 아포스티유 절차 안내 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Arthritis Diary	A	T	T	T	0.85	유지: 관절염 통증·증상 일지로 실재 앱 카테고리이고 명확하며 중복·상표 충돌 없음
Arthritis Guide	A	T	T	T	0.8	유지: 관절염 관리 가이드 콘텐츠로 명확하고 Video와 매체가 달라 중복 아니며 상표 충돌 없음
Arthritis Video	A	T	T	T	0.8	유지: 관절염 운동·교육 영상 서비스로 명확하고 배치 내 중복 없음·상표 충돌 없음
Assessment App	A	T	T	T	0.85	유지: 채용 역량평가 시행 관리 앱으로 실재하고 명확하며 상표 충돌 없음
Assessment Tips	A	T	T	T	0.85	유지: 평가 설계·운영 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Attorney Deadline	A	T	T	T	0.85	유지: 변호사용 법적 마감 기한 관리 도구로 실재 서비스이고 명확하며 상표 충돌 없음
Attorney Guide	A	T	T	T	0.8	유지: 변호사 선정·이용 가이드 콘텐츠로 명확하고 배치 내 중복 없음·상표 충돌 없음
Attorney Lookup	A	T	T	T	0.85	유지: 변호사 검색 디렉터리 도구로 실재하고 명확하며 Match와는 검색 대 매칭으로 다른 제품
Attorney Match	A	T	T	T	0.8	유지: 변호사-의뢰인 매칭 앱으로 실재하고 Lookup과 다른 제품이며 LegalMatch 등과도 명칭이 동일·유사하지 않음
Attraction App	A	T	T	T	0.85	유지: 관광 명소 티켓·안내 앱으로 실재하고 명확하며 상표 충돌 없음
Attraction Tips	A	T	T	T	0.85	유지: 명소 방문 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Attribution App	A	T	T	T	0.7	유지: 마케팅 기여도 추적 앱으로 실재 카테고리이고 attribution은 해당 업계 범용 일반명사라 동명 업체와의 우연 겹침은 상표 충돌 아님
Attribution Tips	A	T	T	T	0.8	유지: 기여도 분석 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Backup App	A	T	T	T	0.85	유지: 데이터 백업·복원 관리 앱으로 실재하고 명확하며 상표 충돌 없음
Backup Tips	A	T	T	T	0.85	유지: 백업 전략 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
Bakery App	A	T	T	T	0.85	유지: 베이커리 주문·재고 관리 앱으로 실재하고 명확하며 상표 충돌 없음
Bakery Tips	A	T	T	T	0.85	유지: 베이커리 운영 팁 콘텐츠로 App과 다른 제품이고 명확하며 중복·상표 충돌 없음
