Beachfront Matrix	R	F	T	T	0.7	Matrix 불성립
Noodle Benefit	R	F	T	T	0.7	수혜 대상 불명
Bite Requirement	R	F	T	T	0.65	Bite 다의어(교합 간식), 대상 불명
Skyline Resignation	R	F	T	T	0.7	사직 결합 불성립
Seafood Tutorial	A	T	T	T	0.65	해산물 손질 튜토리얼, 소비자 실검색
Dentist Handbook	A	T	T	T	0.6	치과 안내 핸드북으로 짐작 가능
Garage Timetable	R	F	T	T	0.65	차고 일정 결합 약함
Backpacker Opinion	R	F	T	T	0.7	소견 결합 불성립
Beat Gift	R	F	T	T	0.7	선물 결합 불성립
Immunity Retreat	R	F	T	T	0.75	리트리트 결합 불성립
Reinstatement Tournament	R	F	T	T	0.75	대회 결합 불성립
Orthodontist Flyer	R	F	T	T	0.7	전단물 결합은 소프트웨어 불명
Parasailing Flow	R	F	T	T	0.7	Flow 불성립
Hygienist Relay	R	F	T	T	0.7	Relay 불성립
Wildlife Compass	R	F	T	T	0.7	Compass 불성립
Floss Cascade	R	F	T	T	0.7	Cascade 불성립
Lagoon Signal	R	F	T	T	0.7	Signal 불성립
Tartar Loop	R	F	T	T	0.7	Loop 불성립
Glacier Wave	R	F	T	T	0.7	Wave 불성립
Fluoride Map	R	F	T	T	0.7	Map 불성립
Volcano Base	R	F	T	T	0.65	Base 다의어(기지 밑동) 불명확
Sealant Board	R	F	T	T	0.7	Board 다의어(이사회 판) 불명확
Daytrip Studio	R	F	T	T	0.75	Studio는 실물 공간 결합
Gingivitis Terminal	R	F	T	T	0.75	Terminal은 실물 단말 결합
Yacht Zone	R	F	T	T	0.7	Zone 불성립
Bruxism Panel	R	F	T	T	0.7	Panel 다의어(패널 위원회) 불성립
Promenade Route	R	F	T	T	0.7	Route 불성립
Halitosis Chain	R	F	T	T	0.7	Chain 불성립
Rainforest Gate	R	F	T	T	0.7	Gate 불성립
Periodontitis Keeper	R	F	T	T	0.7	Keeper는 실물 관리인 결합
